iter	MultiClass
0	3.288812777
1	2.887004048
2	2.563414562
3	2.350820466
4	2.191767521
5	2.05848683
6	1.888999304
7	1.781865255
8	1.67968052
9	1.581788655
10	1.512319851
11	1.458082461
12	1.389428373
13	1.335397576
14	1.242502572
15	1.187814457
16	1.153853129
17	1.090654589
18	1.048516719
19	0.9870155163
20	0.9609016699
21	0.9355006859
22	0.9127019957
23	0.8754810169
24	0.8509798207
25	0.8146737544
26	0.7901643986
27	0.7712976537
28	0.751374924
29	0.7320221942
30	0.7142045931
31	0.6972973086
32	0.6806345981
33	0.6651715386
34	0.6288677339
35	0.610158315
36	0.5977214209
37	0.5693510612
38	0.5548492006
39	0.5416389124
40	0.5221847965
41	0.4965206181
42	0.4857233929
43	0.475633232
44	0.4666297509
45	0.457301389
46	0.4489353633
47	0.4379216826
48	0.4187266639
49	0.4097100502
50	0.3901444036
51	0.3798912593
52	0.3719271373
53	0.3641458995
54	0.3553518725
55	0.3428867472
56	0.336994583
57	0.320582761
58	0.3127650517
59	0.3065879162
60	0.2928297892
61	0.2861576088
62	0.2760759495
63	0.2664848487
64	0.2592071678
65	0.2545779689
66	0.2439537194
67	0.2338216126
68	0.2286439989
69	0.2212174325
70	0.2172844578
71	0.211937555
72	0.2031165721
73	0.1969230052
74	0.1893109506
75	0.184754293
76	0.1798160067
77	0.176155389
78	0.1733592934
79	0.1675418066
80	0.1651198641
81	0.1622065158
82	0.1561857578
83	0.153648533
84	0.1512494565
85	0.1489775629
86	0.1440289059
87	0.1415893052
88	0.1397567806
89	0.1378006982
90	0.1352747839
91	0.1307762206
92	0.1276403695
93	0.1238671831
94	0.1223607917
95	0.1200953301
96	0.117913511
97	0.1163605438
98	0.1140401477
99	0.1124165093
100	0.1096041396
101	0.1075711526
102	0.1048542222
103	0.1033906906
104	0.1022372144
105	0.09938540411
106	0.09621995542
107	0.09391875865
108	0.09245886663
109	0.09084777045
110	0.08835424692
111	0.08560464642
112	0.08443314723
113	0.08284920813
114	0.08131955791
115	0.0794121641
116	0.07752201364
117	0.07670574972
118	0.07554098048
119	0.07406091438
120	0.07340568842
121	0.07166898433
122	0.07065004787
123	0.06966492408
124	0.06822422335
125	0.06714520937
126	0.06568911078
127	0.06488532384
128	0.06414048732
129	0.06349217318
130	0.06224018044
131	0.06160026436
132	0.06015440588
133	0.05957348064
134	0.05893383471
135	0.05829965442
136	0.05688817202
137	0.05634939166
138	0.05546880691
139	0.05483639943
140	0.0542957953
141	0.05311265382
142	0.05255684609
143	0.05188113782
144	0.05082529091
145	0.05033112797
146	0.04957430814
147	0.04881267969
148	0.0479717657
149	0.04724209519
150	0.04658306517
151	0.04587161788
152	0.04517021329
153	0.04460864674
154	0.0439384938
155	0.04295159148
156	0.04239623203
157	0.04187074902
158	0.04125002484
159	0.04089576627
160	0.04013227178
161	0.03980279525
162	0.03923311263
163	0.03845996281
164	0.03789736097
165	0.03744348457
